"title","location","postedTime","publishedAt","jobUrl","companyName","companyUrl","description","applicationsCount","contractType","experienceLevel","workType","sector","salary","posterFullName","posterProfileUrl","companyId","applyUrl","applyType","benefits"
"Graduate Quantitative Analyst (Entry Level)","London, England, United Kingdom","4 days ago","2026-03-20","https://uk.linkedin.com/jobs/view/graduate-quantitative-analyst-entry-level-at-jobs-via-efinancialcareers-4388514166?trk=public_jobs_topcard-title","Jobs via eFinancialCareers","https://uk.linkedin.com/company/jobs-on-efinancialcareers?trk=public_jobs_topcard-org-name"," * 60,000 - £70,000 GBP
 * performance related bonuses.
   
   
   

Onsite WORKING

Location: Central London, Greater London - United Kingdom Type: Permanent

The client is a renowned Systematic Hedge Fund with offices in London, Paris, New York, Hong Kong and Singapore.

You will be part of the team in London, supporting and collaborating with Quantitative Researchers and Traders. Understanding requirements and identifying opportunities to improve current systems and software, while preparing, processing and cleaning data so that it is ready for research.

Requirements


 * Strong proficiency programming with Python.
 * Bachelors/Masters degree with a focus on Computer Science, Maths, Physics, Electrical Engineering or Statistics.
 * Full time/Internship experience is a plus but not a strict requirement.
   
   
   

Compensation and Benefits


 * Base: £60,000 to £70,000. Subject to compensation history and approvals.
 * Additional: End of year discretionary bonus.
 * Generous pension contribution.
 * Competitive health benefits.
   
   
   

VISA sponsorship is available.

","Over 200 applicants","Full-time","Not Applicable","Research, Analyst, and Information Technology","Technology, Information and Internet","","","","37778197","https://uk.linkedin.com/jobs/view/graduate-quantitative-analyst-entry-level-at-jobs-via-efinancialcareers-4388514166?trk=public_jobs_topcard-title","EASY_APPLY",""
"Graduate Finance Broker Programme - April Start","Northamptonshire, England, United Kingdom","4 days ago","2026-03-20","https://uk.linkedin.com/jobs/view/graduate-finance-broker-programme-april-start-at-vecta-4384044236?trk=public_jobs_topcard-title","Vecta","https://uk.linkedin.com/company/vecta-co?trk=public_jobs_topcard-org-name","Job Description:




Company: Top Commercial Finance Brokerage Firm

Role: Graduate Finance Broker Programme (Sales)

Location: Northampton (full-time onsite)

Salary: £36,000 (or £50,000 depending on experience/performance

Start Date: April 6th, 2026




Apply Here: https://www.vecta.co/application?utm_source=LIJob




Overview

Our client is offering an outstanding opportunity for an ambitious, commercially minded graduate to accelerate their career within a high-growth, performance-driven finance firm.




This is a sales-focused position - if you’re seeking a traditional analyst role, this opportunity will not be the right fit.




Why should you apply?

As part of the structured Graduate Finance Broker pathway, you’ll receive:




 * Dedicated 1-2-1 mentorship and coaching from Sales Directors and senior team members
 * A structured 24-month development programme, rotating across four different six-month placements to broaden your exposure to clients and senior leadership
 * A clearly defined route to becoming a qualified Commercial Finance Broker




Earnings potential is significant, with uncapped commission:




 * £70,000–£80,000 in your first fee-earning year after completing the programme
 * £85,000–£120,000 in Year Two
 * £100,000–£150,000 in Year Three




On-target earnings are realistic, with many team members exceeding annual targets. You’ll also benefit from strong long-term incentives, including gym membership, car allowance and private medical insurance as you progress.




About the Company




 * Founded in 2007, the business supports UK SMEs by providing access to a wide range of funding solutions in one place.
 * To date, it has arranged over £1 billion in finance for more than 15,000 businesses.
 * The firm works with an extensive panel of over 40 lending partners alongside its own lending capability, helping businesses secure flexible finance solutions that protect cash flow and reduce upfront costs.
 * It supports private-sector organisations across a broad range of industries, assisting with asset finance, equipment purchase, equity release and general business funding.




What is the role?

As a Graduate Finance Broker, you will:




 * Conduct outbound sales activity to generate interest and build new client relationships
 * Use a consultative sales approach to understand client needs and recommend appropriate funding solutions
 * Prepare proposals and credit applications, working with clients to gather relevant documentation
 * Accurately record activity within the CRM system
 * Build and manage a live pipeline of opportunities
 * Carry out additional responsibilities aligned with the role and your development




Who is best suited to this role?




 * Individuals who are success-driven and winning motivated. If coming third is good enough for you, please do not apply
 * Highly competitive, target-driven individuals with a flair for sales
 * Confident communicators with strong relationship-building skills
 * Resilient and comfortable working in a fast-paced, merit-based environment
 * Commercially aware with a genuine interest in business
 * Entrepreneurial self-starters
 * Ideally AAB at A-Level and a 2:1 degree (or above) in any discipline - please provide your grades on your application
 * Competitive sports background is advantageous




We’d advise NOT applying if:




 * You are seeking an analytical or back-office position
 * You are not comfortable in a competitive, performance-based environment
 * You are unwilling to relocate or commute within one hour of Northampton (NN4)
 * You prefer not to work closely with senior stakeholders
 * You are not motivated by sales, targets and relationship-building




APPLY HERE: https://www.vecta.co/application?utm_source=LIJob




NB: Please apply through Vecta. We’ve supported dozens of successful hires into this role offer practical insight and guidance throughout the application and interview process.




Please note the employer is not able to sponsor VISAs at this time.","32 applicants","Full-time","Entry level","Sales and Business Development","Financial Services","£36,000.00/yr - £50,000.00/yr","","","109254913","https://uk.linkedin.com/jobs/view/graduate-finance-broker-programme-april-start-at-vecta-4384044236?trk=public_jobs_topcard-title","EASY_APPLY",""
"Graduate Software Engineer","City Of London, England, United Kingdom","1 week ago","2026-03-17","https://uk.linkedin.com/jobs/view/graduate-software-engineer-at-highbury-consulting-4384703943?trk=public_jobs_topcard-title","Highbury Consulting","https://ky.linkedin.com/company/highbury-consulting?trk=public_jobs_topcard-org-name","Graduate Software Engineer

£50K + Bonus + Bens




Small, dynamic dev team of 6 building internal tools for actuaries, underwriters and finance are looking to hire two top-tier Computer Science graduates for their team in the City.




Strong coding, maths and logic / problem-solving skills are a must, coupled with the ability to think on your feet, meet deadlines, and build relationships with stakeholders. This is a demanding, high-visibility role that provides an ideal opportunity to learn and develop your skills whilst offering a good degree of ownership and autonomy from the start.




Candidate Profile




 * Must have studied Computer Science or Maths at a top University (If Maths, coding must stand up to scrutiny).
 * Internship or placement experience
 * Strong problem-solving skills with a logical mind
 * Ability to think on your feet and provide solutions quickly
 * Solid understating of at least one language - Python, Java, C# or C++
 * Solid understating of SQL and some experience of working with large data sets
 * Strong communicator with ability to build rapport




Why Join




 * Work with some of the brightest minds in the industry
 * Strong company culture with lots of training and career progression
 * Meritocratic where high-performance is rewarded
 * Opportunity to make and see a real impact




Interview process is 3 stages and decisions made very quickly.




Role is City based and min 4 days per week in the office.","Over 200 applicants","Full-time","Entry level","Information Technology and Analyst","Insurance, Financial Services, and Investment Management","£50,000.00/yr - £55,000.00/yr","","","2655322","https://uk.linkedin.com/jobs/view/graduate-software-engineer-at-highbury-consulting-4384703943?trk=public_jobs_topcard-title","EASY_APPLY",""
"Graduate Data Analyst","York, England, United Kingdom","3 months ago","2025-12-03","https://uk.linkedin.com/jobs/view/graduate-data-analyst-at-targetjobs-uk-4325721378?trk=public_jobs_topcard-title","targetjobs UK","https://uk.linkedin.com/company/targetjobsuk?trk=public_jobs_topcard-org-name","Company Background

Since 2006, Finyx Have Supported Our Clients To Deliver Large And Complex Digital Transformation Programmes And Projects That Have Added Real Value To Their Operations. We Work On High Value, Innovative And Interesting Projects For Clients Who Are Strategically Vital For The UK Economy In Both The Private And Public Sectors. The Services We Offer Are Grouped Into The Following Four Service Lines


 * Strategy – defining forward-looking technology strategies and how they will work operationally.
 * Delivery – supporting large-scale change programmes such as introducing a new technology solution.
 * Commercial – designing, establishing and managing our clients’ technology supply-chains.
 * Business Management – improving efficiency and cost-effectiveness of digital programmes.
   
   

Finyx operate out of three office locations in London, York and Belfast. We pride ourselves on having built a happy and healthy place to work with an open, non-corporate, fun culture built on mutual respect and trust.

Applicants must have a minimum of 5 years continuous residential history in the UK due to the client base we support.

Job Overview

This is an exciting opportunity for a recent graduate within our York Delivery Centre. The right candidate will be joining alongside a number of other Analysts at the same level and given the opportunity to work across a number of areas including:


 * Client Engagements - working as part of a Finyx team on digital, data & technology programmes and projects.
 * Sales - assisting in the identification of potential opportunities and supporting the creation of bid responses.
 * Service Line Development – aiding in the creation of materials that will help us to sell and to deliver our consulting services.
 * Internal Initiatives – contributing to the ongoing growth of Finyx; improving internal processes and contributing to our Corporate Social Responsibility (CSR) and Inclusion, Diversity and Equality (I,D&E) agendas.
   
   

We are looking for a flexible, dynamic individual who will grow into the position and look to build experience across all areas of our business. Curiosity and continuous improvement are highly valued, meaning you don’t need to meet every requirement to apply. If you’re excited about this role and think you could be a good fit, we’d love to hear from you.

Requirements

Qualifications

Bachelor’s degree or equivalent – any subject

Skills & Behaviours

To thrive in this role, you’ll bring…


 * A proactive attitude with the ability to progress tasks autonomously
 * Data analysis and problem-solving skills
 * Clear and thoughtful communicator who values open dialogue and clarity
 * Ability to work collaboratively as part of a team
 * A keen interest in information technology
 * Organisational skills and good attention to detail
 * Ability to approach tasks with a process-oriented, data-driven mindset
   
   

We’d love to see experience in…


 * Working within a professional environment
 * Working with Microsoft suite (incl. PowerPoint, Excel and Word)
 * Delivering high quality presentations to a range of audiences
 * Awareness of technology trends (e.g., AI)
 * Awareness of project management techniques and processes
 * Use of MS Power Platform
   
   

Responsibilities

Client Engagements

Working Under Supervision To


 * Analyse, understand and communicate business problems or opportunities.
 * Communicate effectively with both technical and non-technical stakeholders.
 * Document business processes to analyse and identify opportunities for efficiency.
 * Utilise relevant information to identify, analyse, define and validate requirements for IT users and the client organisation.
 * Identify areas for improvement, research potential options, analyse the impact of change and define success measures.
 * Establish structured data stores and consolidating information from various sources of an organisation.
 * Transform documented business workflows into automated processes using tools within the business.
 * Develop low-code tooling (such as Microsoft PowerApps) to improve existing business operations.
 * Apply tools and techniques for data analysis and data visualisation (incl. PowerBI) to present clear findings and recommendations.
 * Summarise and present data / conclusions in the most appropriate format for users, by translating technical concepts into non-technical language.
 * Take an iterative approach to completing task-based outputs for a project.
 * Contribute towards the creation of client deliverables (e.g. PowerPoint, Excel and Word documents).
 * Prepare for, attend, and contribute to client meetings and workshops.
   
   

Analysts may be required to work autonomously (with oversight from a senior Finyx colleague), as part of either an all-Finyx or mixed team (including client resources or those from other consultancies).

Sales

Helping to identify and qualify new client opportunities for Finyx and supporting the bid process; coordinating and tracking the completion of our bid response.

Service Line Development

Assisting in the creation of materials that help us to both sell and deliver our Services to our clients; this may include creating presentation materials to fully describe our offerings or building tools and templates that we can offer as ‘accelerators’ to our clients.

Internal Initiatives

Providing support (and potentially owning) ongoing internal Finyx projects; this may include analysing and improving internal processes, supporting the design and delivery of company events such as internal training courses for example.

The Benefits of Working with Finyx Include…


 * A discretionary annual bonus based on personal and firm performance.
 * Private healthcare with discounted gym membership included.
 * 25 days holiday (not including Bank Holidays) and holiday purchase scheme (up to 5 additional days).
 * Structured training and on-the-job coaching provided (with allocated training budget).
 * Be part of a vibrant culture in our York office with regular socials.
 * Commitment and support to pursue community projects.
 * Salary sacrifice pension.
 * Death in service benefit.
 * Four days a week in the office, with flexibility on working hours (as appropriate).
 * May require occasional travel to other Finyx offices (London / Belfast) or to client sites.","41 applicants","Full-time","Not Applicable","Information Technology","Technology, Information and Internet","","","","11191742","https://uk.linkedin.com/jobs/view/graduate-data-analyst-at-targetjobs-uk-4325721378?trk=public_jobs_topcard-title","EASY_APPLY",""
"Graduate Advisory Analyst","London, England, United Kingdom","6 days ago","2026-03-18","https://uk.linkedin.com/jobs/view/graduate-advisory-analyst-at-hatch-4354767428?trk=public_jobs_topcard-title","Hatch","https://ca.linkedin.com/company/hatch?trk=public_jobs_topcard-org-name","Requisition ID: 95430

Job Category: Consulting

Location: London, London, United Kingdom

Join a company that is passionately committed to the pursuit of a better world through positive change. With more than 65 years of business and technical expertise in mining , energy , and infrastructure , our 10,000 colleagues in 150 countries tirelessly work toward bettering the industries in which we operate. With practical solutions that are safe, innovative and sustainable, we think globally while acting locally.

Our advisory and consulting experts support almost every project at Hatch, whether in metals, infrastructure, or energy. We consult with our clients to help them meet their business, financing, and project objectives. Interested in consulting to our clients alongside leading experts across various sectors? Join our Advisory team today!

Who We Are

The Hatch Advisory practice provides management consulting services while leveraging Hatch’s engineering backbone to deliver sustainable value to our clients in meeting their business, financial, and operational objectives. We have a diverse portfolio of projects that bridge the entire value chain, from transactions support, through business transformation, to operational effectiveness. Our interdisciplinary teams work closely with the clients to develop tailor-made solutions that solve the world’s toughest challenges.

What You’ll Do

As a Graduate Advisory Analyst, you will make an important contribution to the strategy, design, and implementation of business decisions to ensure positive impact and sustainable results. You will be a strong communicator, hardworking, team-oriented, curious, creative, insightful, and comfortable working in a fast-paced environment with imperfect or limited information. Flexibility, open-mindedness and the ability to generate solutions for ambiguous problems are critical to success in this role. The goal is to identify, unlock, and materialize value for our clients.


 * Research, review, clean and analyze data to facilitate the development of well-supported, value-add solutions to customers’ most complex challenges
 * Deliver segments of analysis and reporting within Advisory projects (Analyzing core issues with outstanding level of detail)
 * Contribute to proposal development
 * Structure and create Excel models
 * Facilitate workshops with clients
 * Develop presentations, clearly articulating ideas when presenting deliverables.
 * Use storylines based on the Pyramid Principle (logic/structure) to communicate insights.
 * Incorporate team and client feedback into your deliverables.
 * Support Engagement Managers, workstream managers and SMEs
 * Actively build trusted relationships with existing clients
 * Be a champion of inclusion and diversity
   
   

What You Bring To The Role


 * You'll be graduating in 2026 or have recently graduated in a Bachelor' or Master's degree in Engineering, Commerce, Business Administration, Economics or relevant business course work.
 * Interested in working with projects in mining & metals, energy, or infrastructure.
 * Proven experience in using research and analysis tools
 * Collaborate and actively contribute as an effective member of a team
 * Strong data analytics skills, including experience with business requirements gathering, analysis and ability to translate business requirements into technical process solutions
 * Ability to learn new skills quickly and adapt to a broad range of project types and responsibilities
 * Financial modeling experience is considered a strong asset
   
   

Why join us?


 * Work with great people to make a difference
 * Collaborate on exciting projects to develop innovative solutions
 * Top employer
   
   

What we offer you?


 * Flexible work environment
 * Long term career development
 * Think globally, work locally
   
   

Don't meet every single requirement? You don't need to. At Hatch, we are building a diverse, inclusive workplace that fosters innovation. If you're interested in this role, we encourage you to apply even if your past experiences don't perfectly align with the skills we've listed.

We're committed to fostering a workforce that reflects the diversity of the communities in which we operate and serve. Hatch is an Equal Opportunity Employer that considers applicants without regard to age, race, color, national origin, citizenship, religion, creed, gender, sexual orientation, marital status, disability, veteran, or any other protected status. If you have any accommodation requirements, please let us know. We'll do our best to meet your needs in accordance with applicable local legislation.

[[req_postHashtag]]","Over 200 applicants","Full-time","Entry level","Business Development, Analyst, and Consulting","Business Consulting and Services, Mining, and Truck Transportation","","","","6428","https://uk.linkedin.com/jobs/view/graduate-advisory-analyst-at-hatch-4354767428?trk=public_jobs_topcard-title","EASY_APPLY",""
"Transport and Logistics Graduate","Malton, England, United Kingdom","1 week ago","2026-03-17","https://uk.linkedin.com/jobs/view/transport-and-logistics-graduate-at-e3-recruitment-4386934220?trk=public_jobs_topcard-title","E3 Recruitment","https://uk.linkedin.com/company/e3-recruitment?trk=public_jobs_topcard-org-name","Graduate Transport and Logistics Coordinator in the Malton area paying up to £35,000 with career progression opportunities and ample training and development opportunities!

An exciting opportunity working with a national leader within Fuel & Agricultural Supplies. Providing career progression opportunities and the opportunity to work for a company which are investing millions to their UK-based sites and growing and developing.

Company Information

Their head office is based in Malton, which is easily commutable from surrounding areas such as York, Thirsk and other areas across North Yorkshire and the East Coast.

A developing, leading supplier of Fuel & Agricultural Supplies are looking for an ambitious and data-driven Graduate Transport and Logistics Coordinator at their Malton site in the North Yorkshire area. This role has become available due to company growth and ongoing site investment.

Salary and Benefits for the Graduate Transport and Logistics Coordinator

 * Annual Salary between £30,000 - £35,000 (DOE)
 * 28 Days Annual Leave (Inclusive of Bank Holiday's)
 * Company Pension Scheme
 * Company Phone And Laptop
 * Free Onsite Parking
 * No Travel Requirements

Role of the Graduate Transport and Logistics Coordinator

As the Graduate Transport and Logistics Coordinator, you will have the opportunity to develop your skills in a supportive, fast-paced and exciting environment with a growing and developing business. Working across large-scale operations, you will be involved in operational activities within the transport division with a focus on improving productivity, efficiency and operational discipline.

This will be achieved by closely monitoring driver performance using various software and technology to improve route efficiency, time utilisation, delivery accuracy and adherence to driver hours. Additionally, focusing on cost saving strategies and budget management.

Key Responsibilities of the Graduate Transport and Logistics Coordinator:

 * Work closely with senior colleagues to gain practical insight into transport operations, developing a strong understanding of industry best practice.
 * Support the identification and delivery of continuous improvement initiatives across site operations and departmental processes.
 * Assist in the planning and coordination of improvement projects, ensuring effective implementation and measurable outcomes.
 * Contribute to budget monitoring activities, identifying opportunities for cost efficiencies and supporting cost-saving initiatives.
 * Analyse operational data and key performance indicators (KPIs), using insights to drive performance improvements and inform decision-making.
 * Promote and uphold high Health & Safety standards, actively contributing to a positive safety culture across the site.
 * Review and optimise daily operational processes, including loading activities, driver check-ins, run sheet management, and end-of-shift procedures to enhance efficiency.
 * Support the implementation of process improvements aimed at reducing administrative workload for drivers and improving depot turnaround times.



I am keen to speak to anyone with the following skills and experience:



 * Degree or Master's level qualification in Logistics, Procurement, Supply Chain Management or a related discipline.
 * Demonstrable interest in logistics, transport operations, procurement, and wider supply chain activities.
 * Strong analytical capability, with experience interpreting data and using insights to support operational improvements.
 * Highly numerate, with a proactive approach to working with data to identify trends, efficiencies, and performance opportunities.
 * Good understanding of Health & Safety principles, with an appreciation for promoting a positive safety culture within operational environments.
 * Evidence of leadership potential, with the ambition to develop and lead teams in a fast-paced logistics setting.
 * Excellent problem-solving skills, with the ability to think critically and contribute to effective, practical solutions.



How to Apply: To apply for the role of Graduate Transport and Logistics Coordinator, please sub it your CV direct or reach out to Toni-Marie Monks at E3 Recruitment.

","36 applicants","Full-time","Entry level","Supply Chain","Transportation, Logistics, Supply Chain and Storage","£30,000.00/yr - £35,000.00/yr","Toni-Marie Monks","https://uk.linkedin.com/in/toni-marie-monks-497b192a7","3202082","https://uk.linkedin.com/jobs/view/transport-and-logistics-graduate-at-e3-recruitment-4386934220?trk=public_jobs_topcard-title","EASY_APPLY",""
"Graduate Project Manager/PMO - Essex","Southend-On-Sea, England, United Kingdom","2 months ago","2026-01-22","https://uk.linkedin.com/jobs/view/graduate-project-manager-pmo-essex-at-grayce-4365280671?trk=public_jobs_topcard-title","GRAYCE","https://uk.linkedin.com/company/grayce?trk=public_jobs_topcard-org-name","Position: Graduate PMO Analyst

Location: Opportunities across Essex

Starting salary: £28,000

Application requirements:


 * Have achieved a 2:1 undergraduate degree in any subject
 * Right to work in the UK unsponsored for the duration of the programme
 * Ability to be on site 5 days a week
   
   

About The Role

Join a high‑profile public‑sector transformation programme where your work will directly support the improvement of essential community services. As a Graduate PMO Analyst, you'll gain hands‑on experience at the heart of a complex organisational change initiative- the kind that shapes how services such as housing, community support, and local operations are designed and delivered.

You'll be part of a fast‑paced environment where strong governance, smart planning, and effective risk management make a tangible difference to how local services evolve. Alongside the Grayce Development Programme, you'll also receive additional CIPFA‑aligned training to deepen your understanding of public‑sector delivery, finance and governance - a standout advantage early in your career.

This role is perfect for someone who wants to build PMO capability while also contributing to work that has genuine social purpose.

What You'll Do As a PMO Analyst

You'll support the successful delivery of business change projects through tasks such as:


 * Governance & Process: Maintaining frameworks and standards for project delivery
 * Planning & Control: Updating project plans, timelines, and milestones
 * Budgeting & Business Cases: Tracking budgets and supporting business case development
 * Risk Management: Managing RAID logs and mitigating delivery risks
 * Reporting & Quality Assurance: Producing performance reports and ensuring high standards
 * Stakeholder Engagement: Coordinating meetings and building strong relationships
   
   

Why Grayce?

Grayce specialises in driving change and transformation for some of the world's most ambitious organisations. For over a decade, we've partnered with FTSE 100 and 250 companies to deliver impactful results by developing and deploying high-performing talent in the UK and beyond.

Our Accelerated Development Programme is designed to launch the careers of recent graduates eager to make an impact. We offer a fast-track route to expertise, allowing you to gain hands-on experience with one of our impressive clients in a variety of flexible roles such as Business Analysis, Project Management, Data Analysis and PMO.

With your specialism in PMO, you will have a tailored learning development journey bespoke to your role, meaning you are prepared for whatever the day throws at you, whilst learning key skills and gaining industry-specific accreditations along the way.

What makes a great Grayce Analyst?

Education:


 * A minimum 2:1 degree in any discipline
   
   

Technical Knowledge:


 * Awareness of project methodologies such as Agile or Waterfall is a plus
 * Strong organisational and analytical skills
   
   

Analytical Problem Solving:


 * Ability to interpret data and provide actionable insights
 * Attention to detail and ability to manage multiple priorities
   
   

Soft Skills:


 * Excellent communication and stakeholder engagement skills
 * Proactive, resilient, and eager to learn
 * Passion for driving transformation and continuous improvement
   
   

Apply now and accelerate your career with Grayce!","Be among the first 25 applicants","Full-time","Entry level","Project Management","IT Services and IT Consulting","£28,000.00/yr - £28,000.00/yr","","","2756411","https://uk.linkedin.com/jobs/view/graduate-project-manager-pmo-essex-at-grayce-4365280671?trk=public_jobs_topcard-title","EASY_APPLY",""
"Graduate Town Planner","England, United Kingdom","2 weeks ago","2026-03-04","https://uk.linkedin.com/jobs/view/graduate-town-planner-at-zodiac-recruitment-4380929858?trk=public_jobs_topcard-title","Zodiac Recruitment","https://uk.linkedin.com/company/zodiac-recruitment?trk=public_jobs_topcard-org-name","Graduate Town Planner – Opportunities Across England




I’m currently working with a number of well-regarded planning consultancies with Graduate Town Planner opportunities available across England.




These roles are ideal for RTPI-accredited graduates (or those close to completing their studies) looking to kick-start their career in consultancy. You’ll gain hands-on experience supporting planning applications, preparing reports, undertaking site research, and working alongside experienced planners on a diverse range of projects.




- Structured training & mentorship

- Support towards MRTPI

- Clear progression opportunities

- Competitive salaries




If you’re graduating this year — or have up to 12 months’ experience — I’d be keen to speak confidentially.




Drop me a message to find out more.




kirsty@zodiacrecruitment.co.uk","89 applicants","Full-time","Entry level","Strategy/Planning","Architecture and Planning and Community Development and Urban Planning","","Kirsty Tanner","https://uk.linkedin.com/in/townplanningrecruiter","10454842","https://uk.linkedin.com/jobs/view/graduate-town-planner-at-zodiac-recruitment-4380929858?trk=public_jobs_topcard-title","EASY_APPLY",""
"Supply Chain Management Traineeship Graduate Programme (SMT) - United Kingdom","London, England, United Kingdom","1 week ago","2026-03-13","https://uk.linkedin.com/jobs/view/supply-chain-management-traineeship-graduate-programme-smt-united-kingdom-at-budweiser-brewing-group-ab-inbev-4294124932?trk=public_jobs_topcard-title","Budweiser Brewing Group (AB InBev)","https://uk.linkedin.com/company/budbrewinguki?trk=public_jobs_topcard-org-name","Seniority Level: Entry level

#Talent

Launch Your Career with AB InBev: Supply Chain Management Trainee Program

Brewing the world’s most loved beers and building brands consumers love, AB InBev is where ownership, ambition, and action thrive. We empower you to dream big, lead change, and create a long-lasting legacy. We value relentless problem-solvers who take accountability, embrace challenges, and turn bold goals into results through resilience and hard work.

That’s Who We Are: Come and OWN IT.

What is it?

Our Supply Chain Management Trainee (SMT) programme is a


 * 6-month program starting in August 2026
 * 3 different projects, lasting 4-6 weeks each, within the country you are applying for.
 * As a junior talent, you will build your leadership, project and general management skills, and gain a 360° view on our Supply Chain.
 * You will have a 70-20-10 learning and development approach, where 70% Learning on the Job, 20% Exposure to Other, 10% Formal Learning & Training
 * You will be based in our breweries or logistics operations, where you will have hands-on experience in producing the beers, we are famous for, learning first-hand both the technical and practical challenges that affect different departments, including - Logistics, Quality, Packaging, Brewery Operations and People
   
   

Who are we looking for?

We are looking for individuals with a strong problem-solving and results-driven mindset that are passionate about a career in Supply, Logistics and Procurement. We are looking for leaders that want to optimize processes – so if you have undertaken some form of leadership position either inside or outside of university, you might be a good fit for this programme.

The following qualities describe you: Bold. Proud Owner. Agile Learner. Collaborator. Problem Solver. Resilient.

To be eligible:


 * You must have graduated (before September 2026 and no more than two years prior) with a Bachelor's, Master's (or equivalent) degree. Ideally from any of the following disciplines: Engineering (ideally Chemical, Mechanical, Production or Electrical), Natural Sciences (e.g. Physics, Chemistry, Bio-Sciences), Brewing or Food Science or Supply Chain Studies.
 * You should also have no more than 4 years of professional experience (internships/apprenticeships/volunteers/student jobs not included).
 * Fluent English is needed, as well as advanced intermediate of the local language of the country you are applying in.
 * A valid permanent visa/work permit is required in the country of application to be eligible for the programme.
 * During the 6-month program and beyond, you might be required to travel within your country of application and across Europe.
   
   

We are looking for: Junior talent. Recent Graduate. Junior Supply Chain Manager. Logistics Trainee. Professional Trainee. Graduate Trainee.

How can you apply?


 * Before you apply, check more information https://europecareers.ab-inbev.com/programmes?utm_source=jobreqs_page&utm_medium=referral&utm_campaign=grads2025_jobreqpromo
 * Please be advised that you will only be considered for the first application you submit, therefore please make sure you are completely happy with your choice as this decision is final.
 * There is no need to upload a cover letter – this will not affect your application.
   
   

Good to know


 * Upon successfully completing the traineeship, you will pursue a rewarding career within our Supply Chain Departments. Therefore, your first position after the program will be located at the core of our Supply Chain, stepping into a first leadership experience in our brewery/ logistics operations.
 * This programme is rooted in our culture and company strategy, providing experiences in life on the front-line of a brewery, working with our operators to make the beers we're famous for.
   
   

What do we offer?

Next to a Competitive base salary, we put our people first by providing extra benefits, including (these will vary depending on your country of employment):


 * A performance-based, competitive total compensation package to recognize your capabilities and achievements, including competitive performance bonus after successful completion of the Program
   
   

Benefits designed to support your performance and physical, mental and financial well-being (these will vary depending on your country of employment):


 * Exciting Career Development through continuous learning and growth (gaining insights from job and project experiences, collaborating with diverse colleagues and teams, pursuing personalized learning opportunities, and receiving mentorship)
 * Learning & Development opportunities (Workday Learning/additional training programs)
 * Vouchers to taste our delicious beer at a discount
 * Wellbeing support Initiatives
 * Medical insurance
 * Extended birth leave
 * And many other
   
   

Where?

The SMT programme is available in:


 * Benelux
 * Germany
 * Canary Islands, Spain
 * United Kingdom
   
   

Build your career with us

We recruit for mindset, ambition, cultural fit, and growth opportunities.

UNIQUE CULTURE

We are proud to be part of something bigger than ourselves and are passionate about building upon our company’s long legacy. We believe in collaboration and candor, which results in a dynamic culture with open communication.

BRANDS EVERYONE LOVES

We are part of the collective, global history of beer. We are the proud makers of more than 500 iconic brands, from beloved international classics to local favorites.

GROWTH OPPORTUNITIES

Our people grow at the pace of their talent. We empower our people to learn, expand their perspectives, and unlock career growth. In an environment where commitment to excellence pays off, our people are able to deepen their impact and create a long-lasting legacy.

&I

","Over 200 applicants","Full-time","Entry level","Management and Manufacturing","Consumer Goods","","","","14013016","https://uk.linkedin.com/jobs/view/supply-chain-management-traineeship-graduate-programme-smt-united-kingdom-at-budweiser-brewing-group-ab-inbev-4294124932?trk=public_jobs_topcard-title","EASY_APPLY",""
"Graduate Project Assistant","Shoreditch, England, United Kingdom","2 weeks ago","2026-03-09","https://uk.linkedin.com/jobs/view/graduate-project-assistant-at-graduate-career-solutions-4382959562?trk=public_jobs_topcard-title","Graduate Career Solutions","https://uk.linkedin.com/company/gradcareersolutions?trk=public_jobs_topcard-org-name","Project Assistant

Location: London

Salary: £28,000 - £32,000

This organisation is a leading specialist in hospitality procurement, delivering tailored FF&E and OS&E solutions to some of the world’s most recognised hotel brands, developers, and operators. You will be responsible for providing administrative and purchasing support to the project managers and wider team in order to assist in the successful delivery of project information.

Responsibilities:

· Support budget forecasting

· Issue information to suppliers to acquire quotations

· Reviewing of quotations

· Generating purchase orders using bespoke software

· Issuing purchase orders for approval

· Maintain expediting lists

· Maintain contact with suppliers using telephone and email

· Contacting suppliers and collating Operating and Maintenance manual information

· Answer and direct telephone calls

· Organise and schedule meetings

· Attending supplier events as required

About you:

· Educated to degree level

· Strong computer skills, particularly with MS Office (Excel / Word / Powerpoint / Outlook)

· Well organised

· Ability to manage complex tasks with multiple requirements

· Good writing and communication skills

Benefits:

· Salary reviews

· Professional Development and Progression

· 10% discretionary annual bonus","Over 200 applicants","Full-time","Entry level","Project Management","Interior Design","£28,000.00/yr - £32,000.00/yr","Marc Cooper","https://uk.linkedin.com/in/marc-coopergts","11062589","https://uk.linkedin.com/jobs/view/graduate-project-assistant-at-graduate-career-solutions-4382959562?trk=public_jobs_topcard-title","EASY_APPLY",""
